Bacteria;Actinobacteriota;Actinobacteria;Frankiales,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales,Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales,Bacteria;Actinobacteriota;Actinobacteria;uncultured,Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales,Bacteria;Bacteroidota;Bacteroidia;Cytophagales,Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales,Bacteria;Chloroflexi;Anaerolineae;Caldilineales,Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales,Bacteria;Firmicutes;Bacilli;Erysipelotrichales,Bacteria;Firmicutes;Bacilli;Lactobacillales,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;Firmicutes;Clostridia;Eubacteriales,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales,Bacteria;Firmicutes;Clostridia;Peptococcales,Bacteria;Firmicutes;Incertae Sedis;DTU014,Bacteria;Firmicutes;Limnochordia;Hydrogenispora,Bacteria;Firmicutes;Limnochordia;M55-D21,Bacteria;Firmicutes;Moorellia;Desulfitibacterales,Bacteria;Firmicutes;Negativicutes;Acidaminococcales,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales,Bacteria;Firmicutes;uncultured;uncultured Peptococcaceae bacterium,Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales,Bacteria;Myxococcota;Polyangia;Polyangiales,Bacteria;Myxococcota;Polyangia;mle1-27,Bacteria;Myxococcota;bacteriap25;uncultured bacterium,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales,Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales,Bacteria;Synergistota;Synergistia;Synergistales,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales,Bacteria;Chloroflexi;Anaerolineae;Anaerolineales,Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales,Bacteria;Bdellovibrionota;Oligoflexia;Silvanigrellales,Bacteria;Desulfobacterota;Syntrophia;Syntrophales,Bacteria;SAR324 clade(Marine group B);uncultured delta proteobacterium,label
0.0,1.0,3.0,0.0,0.0,245.0,8121.0,15.0,0.0,0.0,0.0,0.0,41.0,0.0,11.0,0.0,4.0,20.0,0.0,0.0,17.0,11.0,0.0,9372.0,129.0,3869.0,0.0,36.0,0.0,0.0,72.0,2.0,0.0,2.0,0.0,24.0,0.0,34.0,16.0,0.0,2.0,0.0,0
7.0,1.0,0.0,1.0,1.0,761.0,5197.0,0.0,0.0,0.0,12.0,2110.0,117.0,51.0,267.0,5.0,0.0,2235.0,241.0,53.0,47.0,26.0,0.0,1864.0,307.0,1995.0,3.0,109.0,3.0,0.0,0.0,391.0,0.0,0.0,3.0,32.0,0.0,12196.0,12.0,0.0,0.0,0.0,1
4.0,0.0,0.0,1.0,0.0,441.0,3646.0,0.0,0.0,0.0,2.0,0.0,399.0,0.0,49.0,0.0,0.0,81.0,3.0,0.0,46.0,1.0,0.0,1934.0,36.0,2170.0,0.0,27.0,0.0,0.0,0.0,4238.0,0.0,0.0,0.0,50.0,0.0,1569.0,11.0,1.0,0.0,0.0,1
0.0,1.0,2.0,0.0,0.0,43.0,9216.0,1.0,0.0,0.0,72.0,0.0,340.0,0.0,9.0,0.0,0.0,245.0,21.0,0.0,1.0,1.0,0.0,2669.0,131.0,3870.0,0.0,19.0,0.0,0.0,0.0,1384.0,0.0,0.0,0.0,894.0,0.0,309.0,83.0,0.0,0.0,0.0,1
2.0,3.0,0.0,3.0,0.0,77.0,6238.0,0.0,0.0,0.0,41.0,0.0,573.0,0.0,194.0,0.0,3.0,6.0,0.0,0.0,19.0,0.0,0.0,3375.0,56.0,2008.0,0.0,29.0,0.0,0.0,0.0,98.0,0.0,2.0,1.0,13.0,2.0,3797.0,6.0,1.0,0.0,0.0,1
0.0,1.0,14.0,0.0,3.0,231.0,4437.0,0.0,0.0,0.0,20.0,0.0,203.0,0.0,34.0,436.0,0.0,82.0,251.0,0.0,786.0,0.0,0.0,1566.0,174.0,1349.0,3.0,14.0,0.0,0.0,65.0,32.0,0.0,0.0,4.0,253.0,2.0,10367.0,2.0,9.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,32.0,15579.0,425.0,0.0,0.0,15.0,0.0,18.0,52.0,26.0,77.0,0.0,1609.0,252.0,29.0,0.0,0.0,31.0,1455.0,19.0,10555.0,40.0,135.0,17.0,0.0,0.0,563.0,0.0,0.0,2.0,608.0,0.0,892.0,14.0,0.0,0.0,0.0,1
6.0,2.0,0.0,1.0,0.0,185.0,12337.0,2.0,0.0,0.0,54.0,0.0,476.0,0.0,146.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,3426.0,387.0,2258.0,0.0,52.0,0.0,0.0,0.0,2830.0,0.0,0.0,5.0,352.0,0.0,82.0,68.0,0.0,0.0,0.0,0
0.0,2.0,0.0,0.0,1.0,523.0,8047.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,30.0,0.0,0.0,21.0,1.0,0.0,64.0,0.0,0.0,1738.0,122.0,2539.0,0.0,1.0,0.0,0.0,0.0,2059.0,0.0,1.0,0.0,21.0,0.0,8.0,35.0,3.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,183.0,2165.0,0.0,1.0,17.0,3.0,0.0,164.0,0.0,131.0,1235.0,0.0,245.0,374.0,9.0,6.0,0.0,0.0,1153.0,70.0,2630.0,13.0,26.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,144.0,0.0,61.0,5.0,0.0,0.0,0.0,1
12.0,0.0,0.0,0.0,0.0,252.0,16517.0,0.0,0.0,108.0,13.0,0.0,1058.0,0.0,22.0,183.0,0.0,1077.0,930.0,8.0,3.0,0.0,1.0,3079.0,48.0,7219.0,39.0,67.0,18.0,1.0,907.0,16.0,0.0,0.0,0.0,708.0,0.0,1.0,4.0,0.0,0.0,0.0,1
5.0,23.0,1.0,0.0,0.0,682.0,6211.0,0.0,0.0,0.0,71.0,0.0,85.0,1.0,190.0,31.0,13.0,9.0,18.0,1.0,445.0,0.0,0.0,2749.0,226.0,3315.0,1.0,13.0,0.0,0.0,436.0,1793.0,0.0,3.0,0.0,91.0,0.0,699.0,263.0,0.0,3.0,0.0,0
57.0,0.0,0.0,0.0,0.0,903.0,6897.0,11.0,4.0,51.0,2.0,11.0,1549.0,0.0,144.0,1.0,8.0,523.0,606.0,8.0,0.0,1.0,0.0,3759.0,257.0,6578.0,10.0,848.0,0.0,0.0,90.0,59.0,2.0,0.0,0.0,41.0,0.0,14.0,0.0,646.0,0.0,11.0,2
2.0,5.0,3.0,1.0,0.0,1016.0,9211.0,0.0,0.0,0.0,11.0,0.0,1109.0,0.0,12.0,0.0,0.0,14.0,0.0,0.0,5.0,0.0,0.0,3824.0,6.0,2208.0,2.0,64.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,75.0,1.0,3581.0,1.0,1.0,0.0,0.0,0
4.0,4.0,1.0,0.0,0.0,58.0,11915.0,0.0,0.0,782.0,115.0,0.0,147.0,0.0,31.0,0.0,2.0,1988.0,0.0,0.0,6.0,0.0,0.0,1961.0,225.0,3379.0,0.0,28.0,0.0,0.0,0.0,2032.0,0.0,0.0,0.0,808.0,0.0,847.0,5.0,2.0,0.0,0.0,1
9.0,0.0,0.0,0.0,0.0,156.0,10733.0,0.0,0.0,6.0,41.0,0.0,466.0,0.0,111.0,0.0,0.0,503.0,404.0,0.0,12.0,0.0,0.0,4142.0,414.0,6664.0,4.0,58.0,0.0,2.0,1838.0,5.0,0.0,6.0,0.0,257.0,0.0,4.0,3.0,0.0,0.0,1.0,0
2.0,2.0,0.0,0.0,0.0,176.0,10770.0,0.0,0.0,0.0,76.0,0.0,267.0,0.0,99.0,0.0,17.0,35.0,0.0,0.0,1.0,0.0,0.0,2723.0,53.0,5274.0,1.0,35.0,0.0,0.0,988.0,208.0,0.0,5.0,0.0,96.0,0.0,21.0,154.0,1.0,0.0,0.0,2
5.0,18.0,0.0,1.0,0.0,314.0,8177.0,0.0,9.0,0.0,26.0,0.0,356.0,0.0,27.0,0.0,1.0,79.0,25.0,0.0,7.0,0.0,1.0,2062.0,45.0,2315.0,7.0,148.0,0.0,0.0,43.0,87.0,92.0,0.0,0.0,182.0,0.0,1327.0,5.0,1.0,0.0,0.0,3
8.0,0.0,0.0,2.0,0.0,141.0,2867.0,5.0,0.0,6.0,17.0,0.0,391.0,0.0,767.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5271.0,0.0,610.0,0.0,5.0,0.0,0.0,0.0,7372.0,3.0,0.0,0.0,2.0,0.0,13579.0,18.0,2.0,0.0,0.0,1
6.0,2.0,0.0,0.0,0.0,57.0,14547.0,0.0,0.0,0.0,0.0,35.0,190.0,0.0,226.0,0.0,1.0,1.0,0.0,7.0,22.0,0.0,0.0,2968.0,7.0,2152.0,0.0,6.0,0.0,0.0,1.0,297.0,0.0,0.0,0.0,47.0,0.0,34326.0,20.0,1.0,0.0,0.0,1
1.0,0.0,0.0,1.0,0.0,71.0,3797.0,20.0,0.0,8.0,65.0,0.0,151.0,0.0,18.0,120.0,0.0,1654.0,1532.0,3.0,5.0,0.0,0.0,638.0,135.0,2881.0,8.0,12.0,3.0,0.0,3.0,1465.0,1.0,0.0,0.0,108.0,0.0,2143.0,0.0,0.0,0.0,0.0,1
