sample_ID,Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales,Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales,Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales,Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales,Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales,Bacteria;Actinobacteriota;Actinobacteria;Frankiales,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales,Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales,Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales,Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales,Bacteria;Actinobacteriota;Actinobacteria;uncultured,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales,Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales,Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales,Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales,Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales,Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20,Bacteria;Campilobacterota;Campylobacteria;Campylobacterales,Bacteria;Chloroflexi;Anaerolineae;Caldilineales,Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales,Bacteria;Dependentiae;Babeliae;Babeliales,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales,Bacteria;Desulfobacterota;Desulfuromonadia;Geoalkalibacteraceae,Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales,Bacteria;Elusimicrobiota;Lineage IIa;Elusimicrobia bacterium RIFCSPLOWO2_01_FULL_59_12,Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales,Bacteria;Firmicutes;Bacilli;Bacillales,Bacteria;Firmicutes;Bacilli;Erysipelotrichales,Bacteria;Firmicutes;Bacilli;Izemoplasmatales,Bacteria;Firmicutes;Bacilli;Lactobacillales,Bacteria;Firmicutes;Bacilli;RF39,Bacteria;Firmicutes;Bacilli;Staphylococcales,Bacteria;Firmicutes;Bacilli;Thermicanales,Bacteria;Firmicutes;Clostridia;Caldicoprobacterales,Bacteria;Firmicutes;Clostridia;Christensenellales,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;Firmicutes;Clostridia;Eubacteriales,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae,Bacteria;Firmicutes;Clostridia;Lachnospirales,Bacteria;Firmicutes;Clostridia;Monoglobales,Bacteria;Firmicutes;Clostridia;Oscillospirales,Bacteria;Firmicutes;Clostridia;Peptococcales,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales,Bacteria;Firmicutes;Clostridia;uncultured,Bacteria;Firmicutes;Incertae Sedis;DTU014,Bacteria;Firmicutes;Limnochordia;Hydrogenispora,Bacteria;Firmicutes;Limnochordia;M55-D21,Bacteria;Firmicutes;Moorellia;Desulfitibacterales,Bacteria;Firmicutes;Negativicutes;Acidaminococcales,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales,Bacteria;Firmicutes;uncultured;uncultured Peptococcaceae bacterium,Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales,Bacteria;Myxococcota;Polyangia;Polyangiales,Bacteria;Myxococcota;Polyangia;mle1-27,Bacteria;Myxococcota;bacteriap25;uncultured bacterium,Bacteria;Nitrospirota;Nitrospiria;Nitrospirales,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Paracaedibacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,Bacteria;Proteobacteria;Alphaproteobacteria;uncultured,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales,Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,Bacteria;Spirochaetota;Brachyspirae;Brachyspirales,Bacteria;Spirochaetota;Spirochaetia;Spirochaetales,Bacteria;Synergistota;Synergistia;Synergistales,Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales,label
H18090,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,7009,0,8,0,0,0,0,0,32,0,347,0,0,0,0,0,37,0,13,165,1,0,0,230,670,2,7,0,0,1531,24,2267,11,28,0,0,0,0,0,174,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1
H18093,0,0,0,0,3,7,0,0,0,0,0,0,0,336,0,0,6871,0,1,0,0,0,0,0,1,0,61,0,0,0,0,0,125,0,60,0,0,0,0,3,78,1,0,0,0,1559,26,1197,0,76,0,0,0,0,0,1,2695,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,962,0,0,0,709,0,0,0,0,4,1,0,0,0,0,0,0,0,17,0
H18094,0,0,0,0,7,0,0,0,1,0,0,0,0,501,0,0,7906,0,0,0,0,0,0,0,1,0,76,0,0,0,0,0,219,0,136,102,0,0,0,43,597,4,16,0,0,1864,87,2699,4,34,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,31,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
H18095,0,0,0,0,1,0,0,0,0,0,0,0,0,108,0,0,6404,0,0,0,0,0,0,0,39,0,30,0,0,0,0,0,113,30,136,54,1,0,0,700,290,23,13,1,2,1296,49,2214,7,54,0,8,0,0,0,0,53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,183,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
H18096,0,0,0,0,2,0,0,0,1,0,0,0,0,262,0,0,5713,0,4,0,0,0,0,0,0,0,35,0,0,0,0,1,70,0,10,2,0,0,0,7,191,2,3,0,0,1279,163,1362,0,15,0,0,0,0,0,22,1629,0,0,0,0,0,0,5,0,0,0,0,15,0,0,0,92,0,0,0,44,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1
H18099,0,0,0,0,20,0,0,0,0,0,4,0,0,148,0,0,2929,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,215,0,144,0,3,0,0,246,0,7,0,12,30,1943,150,4055,17,51,2,5,0,0,0,0,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,3122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H18100,0,0,0,0,126,1,1,0,24,0,2,0,0,586,0,0,1039,0,3,0,0,0,1,0,0,0,103,0,0,0,0,0,352,0,1181,0,24,0,0,0,0,0,8,4,1,3379,7,1457,0,39,0,0,0,0,0,61,210,0,132,0,0,0,0,4,0,0,0,0,0,0,0,0,427,0,0,0,3330,0,0,0,0,7,7,0,0,0,0,0,0,0,0,4
H18101,0,0,0,0,0,1,1,0,0,0,0,0,0,262,0,0,4651,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,356,0,138,0,0,0,0,132,129,0,5,0,0,1586,24,1379,0,12,0,0,0,0,0,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11,1
H18105,0,0,0,0,11,5,1,0,1,0,0,0,0,126,0,0,7942,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,95,0,61,1,0,0,0,31,1,0,0,0,0,1912,0,1807,0,58,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
H18106,0,0,0,0,0,4,0,0,0,0,0,0,0,15,0,0,5009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,33,12,0,0,0,12,474,1,1,0,0,1059,133,1936,2,6,0,0,0,0,0,4,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,5,0,0,0,0,1558,0,0,0,0,0,0,0,0,0,0
H18108,0,0,0,0,8,3,0,0,0,0,1,0,0,374,0,0,2449,0,5,0,0,0,2,0,0,0,1,0,0,0,0,0,623,0,218,0,2,0,0,2,2,0,36,0,0,3714,48,6122,0,11,0,0,0,0,0,0,3426,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,5560,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1
H18112,0,0,0,0,16,2,3,0,4,0,0,0,0,219,0,0,4264,0,0,0,0,0,0,0,26,0,7,0,0,0,0,10,241,12,294,0,2,0,0,223,416,0,28,1,0,1836,12,2329,1,93,0,0,0,0,0,93,19,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18,0,0,0,5765,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1
H18113,0,0,0,0,5,1,1,0,1,0,0,0,0,405,0,0,2514,0,0,0,0,0,1,0,0,0,247,0,0,0,0,0,162,211,110,277,0,0,0,1956,898,13,146,0,0,1405,17,1963,43,112,0,0,1,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,551,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1
H18114,0,0,0,0,26,1,0,0,4,0,2,0,0,577,0,0,11565,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,260,0,964,0,3,0,0,43,29,1,0,1,0,2625,9,2337,0,46,0,0,0,0,0,0,2697,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1505,0,0,0,142,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0
